x,vx
4.81753,0.384555
5.56901,-0.386778
4.85848,0.383109
5.54931,-0.386159
4.83836,0.383936
5.58838,-0.387539
4.87947,0.382401
5.53888,-0.385985
4.82819,0.384284
5.5787,-0.387157
4.86865,0.382709
5.55926,-0.386416
4.84837,0.38352
5.59829,-0.387882
4.8905,0.382125
5.5336,-0.38594
4.82289,0.384427
5.57386,-0.386969
4.86347,0.382904
5.55436,-0.386287
4.8434,0.383728
5.59324,-0.387728
4.88494,0.382251
5.54413,-0.386053
4.83336,0.384121
5.58352,-0.387349
4.87403,0.382552
5.56414,-0.386593
4.85344,0.383314
5.60341,-0.388019
4.89597,0.381998
5.5308,-0.385913
4.82014,0.384493
5.57146,-0.386872
4.86091,0.383004
5.55182,-0.386223
4.84088,0.383835
5.59082,-0.387637
4.8822,0.382326
5.54148,-0.386016
4.83076,0.384205
5.58114,-0.387253
4.87128,0.382628
5.56167,-0.386502
4.8509,0.383414
5.60086,-0.387945
4.89324,0.382062
5.53622,-0.385963
4.82553,0.384356
5.57628,-0.387065
4.86598,0.382804
5.55686,-0.386348
4.84584,0.383622
5.59575,-0.387811
4.88772,0.382181
5.54676,-0.386102
4.83586,0.384031
5.58593,-0.387441
4.87668,0.382477
5.56656,-0.386688
4.85595,0.383214
5.60593,-0.388105
4.89884,0.381929
5.52951,-0.385898
4.97941,0.378308
5.72173,-0.391779
5.01598,0.376734
5.70259,-0.391591
4.99777,0.37745
5.74307,-0.391168
5.03463,0.376108
5.69368,-0.391324
4.98857,0.377856
5.73213,-0.391675
5.02518,0.376417
5.71185,-0.391794
5.00683,0.377073
5.75413,-0.390464
5.04435,0.375821
5.68917,-0.391126
4.98398,0.378081
5.72691,-0.391724
5.02067,0.376574
5.70718,-0.391699
5.00236,0.377263
5.74855,-0.390877
5.03949,0.375971
5.6981,-0.391479
4.99312,0.377643
5.73756,-0.39144
5.02988,0.376258
5.71671,-0.391821
5.01128,0.376891
5.75985,-0.389905
5.0491,0.375664
5.68684,-0.391027
4.98171,0.378195
5.72432,-0.391752
5.01833,0.376655
5.70491,-0.39164
5.00006,0.377358
5.74583,-0.391023
5.03713,0.37604
5.69585,-0.391402
4.99081,0.377746
5.73491,-0.391558
5.02756,0.376334
5.7143,-0.391818
5.009,0.376977
5.75698,-0.390191
5.04678,0.375744
5.69147,-0.391226
4.98629,0.377969
5.7295,-0.391703
5.0229,0.376497
5.70949,-0.391749
5.00463,0.37717
5.75126,-0.39072
5.04191,0.375899
5.70034,-0.391546
4.99545,0.377544
5.74034,-0.391305
5.03226,0.376183
5.71916,-0.391805
5.01366,0.376813
5.76287,-0.389582
5.05152,0.37559
5.68576,-0.390971
5.1355,0.372349
5.89466,-0.367901
5.17776,0.370914
5.87525,-0.373236
5.15699,0.371667
5.91718,-0.359758
5.19825,0.37001
5.8654,-0.375326
5.14648,0.372028
5.90507,-0.364315
5.18822,0.370492
5.88483,-0.370646
5.16746,0.371306
5.93063,-0.353917
5.20793,0.369487
5.8605,-0.376364
5.14113,0.372193
5.89962,-0.366261
5.18306,0.370711
5.88001,-0.37197
5.16227,0.371489
5.92391,-0.356904
5.20319,0.369755
5.87031,-0.3743
5.15171,0.371843
5.91087,-0.362213
5.19325,0.370257
5.88966,-0.369308
5.17263,0.371114
5.93747,-0.350923
5.21277,0.36921
5.85788,-0.376932
5.13835,0.372271
5.89716,-0.367074
5.18043,0.370813
5.87768,-0.372592
5.1596,0.371578
5.92041,-0.358443
5.20076,0.369886
5.86786,-0.374817
5.14913,0.371935
5.90789,-0.363296
5.19082,0.370376
5.88726,-0.369976
5.17,0.371212
5.93404,-0.352412
5.21033,0.369349
5.86295,-0.375842
5.14384,0.372115
5.9023,-0.365315
5.18568,0.370603
5.88237,-0.371325
5.16484,0.3714
5.92734,-0.355374
5.20559,0.36962
5.87274,-0.373785
5.15435,0.371757
5.91393,-0.361076
5.19577,0.370133
5.89224,-0.36858
5.17514,0.371016
5.94056,-0.349596
5.21519,0.369073
5.85662,-0.377203
5.29864,0.364617
6.08601,-0.261834
5.33842,0.362301
6.06302,-0.278483
5.31891,0.3635
6.1108,-0.243048
5.35731,0.361045
6.05141,-0.28669
5.30888,0.364071
6.0978,-0.253014
5.348,0.361681
6.0754,-0.269373
5.32887,0.362914
6.12404,-0.232474
5.36628,0.360392
6.04532,-0.290971
5.30384,0.364352
6.09164,-0.257667
5.34311,0.361993
